Topic;Count;Main Words;c-TF-IDF score
43;161;climate,warming,climatehome,emissions,pollution,global,world,govt,worlds,funding;0.54745865,0.50111663,0.40138027,0.34707764,0.31659824,0.2669082,0.2623965,0.2405427,0.22392733,0.21983711
44;160;climate,environment,natgeochannels,changing,world,change,flood,natgeochannel,reality,exploring;0.54419225,0.36450788,0.27272934,0.27188367,0.26602307,0.26467985,0.26195672,0.2605734,0.2601493,0.25995442
45;140;warming,believes,believe,believing,hoax,realdonaldtrump,rt,dont,nuclear,thinks;0.4501477,0.27201146,0.2563043,0.24390046,0.22611335,0.22080746,0.21761958,0.20744479,0.20144649,0.18731093
46;137;climate,warming,tweet,future,thetumblrposts,bristanto8,rt,global,boredeaths,brennan4ever969;0.5495167,0.50580674,0.34234014,0.2506012,0.23525901,0.23336577,0.23293698,0.22983812,0.2268155,0.22626187
47;136;climate,climatecentral,rt,httpstcohnzbicg,httpstcoogw21w7skw,america,americas,httpstcoc53tlaen13,donald,change;0.5689851,0.50275505,0.30179566,0.2627409,0.2572396,0.23912205,0.23863298,0.23395267,0.23268375,0.2302207
48;130;warming,climate,winters,earth,flooding,storms,weather,hot,democracynow,stratosphere;0.54779613,0.5420483,0.43662322,0.31107333,0.30331698,0.2890808,0.28513795,0.28311664,0.28216368,0.28017524
49;123;climate,warming,econom,change,rt,httpstcoy8nv,senatormroberts,research,catastrophic,read;0.52270824,0.44758624,0.3030982,0.26124573,0.25394464,0.22839266,0.21887425,0.2113213,0.20638385,0.20310505
50;122;climate,naturenews,bush,cites,imminent,trump,thinks,donald,change,says;0.5721966,0.40369242,0.27455735,0.23927058,0.22139096,0.21936417,0.21726821,0.21478686,0.20927963,0.20805481
51;121;climatereality,climate,climatecentral,wildfires,climatehawk1,ecosystems,alaska,forests,scientists,fuel;0.58406186,0.5042424,0.4579988,0.32602865,0.31292474,0.3113983,0.28921413,0.27337408,0.2731465,0.23894805
52;115;warming,ozone,predicted,hot,global,worse,economist,dooms,pictu,shit;0.41545695,0.18879756,0.18271819,0.16244316,0.15204051,0.15026677,0.14446977,0.13487151,0.13222006,0.12813425
53;112;climatechange,climate,crisis,rt,countries,abcnews,threatened,pacific,change,affects;0.6055149,0.54286766,0.26165962,0.26018292,0.24746044,0.24325186,0.24277672,0.23967639,0.22328393,0.22287953
54;111;climate,hoax,rt,solar,pollution,change,on,trump,end,first;0.5588018,0.24906564,0.247138,0.2424177,0.24071369,0.20104733,0.1889745,0.18688926,0.18552893,0.17616951
